Unnamed: 0,tweet_text,text,polarity,sentimen
1,jika revolusi bahan bakar minyak ke listrik ini berhasil.pemerintah wajib mengawasi antara pasokan listrik dan penerimaan listrik di pasar. supaya tidak menjadi over supply. @jokowi @ganjarpranowo @dini_purwono,"if the fuel-to-electricity revolution is successful, the government is obliged to monitor the supply of electricity and the receipt of electricity in the market so that it does not become over-supply purwono",0.75,positive
8,"guna memastikan ketersediaan bahan bakar minyak bersubsidi, pemerintah resmi menambah kuota pertalite dan solar per 1 oktober 2022. penambahan pertalite sebanyak 6,86 juta kl, sedangkan solar sebanyak 2,73 juta kl. #ekonomi #adadikompas https://t.co/dpyix15cns","In order to ensure the availability of subsidized fuel oil, the government has officially increased the pertalite and diesel quotas as of October, the addition of pertalite is as much as million KL while diesel is as much as million KL",0.2,positive
10,"pemerintah tambah subsidi bahan bakar minyak hingga akhir tahun ð¥ pemerintah berencana tingkatkan kuota pertalite sebanyak 6,86 juta kiloliter dan solar 2,73 juta kiloliter hingga akhir 2022. kementrian esdm juga memastikan pembelian keduanya akan dibatasi agar lebih tepat sasaran. https://t.co/ch27ihegrb","the government will add fuel subsidies until the end of the year the government plans to increase the pertalite quota by as much as 1 million kiloliters and 1 million kiloliters of diesel by the end, the ministry of Energy and Mineral Resources also ensures that purchases of both will be limited so that they are more on target",0.20952380952380953,positive
11,"banyak yang tidak suka bahkan benci dengan pemerintah, tapi kalau ada blt, bansos, prakerja, bantuan bbm, antri paling depan. ada yang seperti gitu? banyakkkkkk","many do not like and even hate the government, but if there is BLT social assistance, pre-employment assistance, fuel assistance is queued at the front, there are many like that.",0.05833333333333332,positive
12,penyesuaian harga bahan bakar minyak ini diambil pemerintah dengan banyak proses pengkajian sehingga menemukan titik temu dimana tidak merugikan rakyat dan negara diambil ditengah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/waytfpr28y,"the government made adjustments to the price of fuel oil through many review processes so as to find common ground where it would not be detrimental to the people and the state, it was taken in the middle",0.06666666666666667,positive
15,bantuan langsung tunai adalah solusi untuk penyesuaian harga bahan bakar minyak dari pemerintah. ðbanten #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/ym5eusfdev,Direct cash assistance is a solution for adjusting fuel prices from the Banten government,0.1,positive
17,"imbas kenaikan harga bbm, iperindo minta subsidi pembiayaan perkapalan ke pemerintah https://t.co/yvlkistz5d",iperindo asked the government for shipping financing subsidies due to the increase in fuel prices,-0.125,negative
22,bantuan langsung tunai (blt) dari pemerintah sebagai konsekuensi penyesuaian harga bahan bakar minyak (bbm) memberikan manfaat yang besar bagi masyarakat pertamina terbaik https://t.co/wpuym5xffy,BLT direct cash assistance from the government as a consequence of adjusting the price of fuel oil provides great benefits for the best Pertamina community,0.6333333333333333,positive
23,"saat ini pemerintah telah menambah kuota pertalite 6,8 juta kl, sementara untuk solat ditambah 2,73 juta kl. namun demikian bph minyak dan gas bumi menyatakan terus akan mengawasi penyaluran bahan bakar minyak subsidi supaya tepat sasaran. @pertamina #bbmindonesiapalingmurah https://t.co/37cbvny5wl","currently the government has increased the pertalite quota million KL temporarily for prayer plus a million KL however, BPH Oil and Gas stated that it would continue to monitor the distribution of subsidized fuel oil so that it was right on target",0.14285714285714285,positive
24,walaupun kuota bahan bakar minyak di tambah bph minyak dan gas bumi menyatakan akan tetap mengawasi penyaluran subsidi bahan bakar minyak dari pemerintah. ini akan membuat keadilan bagi rakyat kecil terwujud. @pertamina #bbmindonesiapalingmurah https://t.co/1l8xje57pn,"Even though the fuel oil quota is added, BPH Oil and Gas stated that it would continue to monitor the distribution of fuel oil subsidies from the government. This would make justice for the common people realized.",-0.3,negative
25,"pemerintah terus mengupayakan agar bahan bakar minyak bersubsidi tersalurkan dengan tepat sasaran, salah satu langkah yang saat ini tengah dijalankan ialah melalui pemanfaatan aplikasi mypertamina. @pertamina pertamina terbaik https://t.co/0bmr7cfxkp","the government continues to make efforts so that subsidized fuel oil is channeled on target, one of the steps that is currently being carried out is through the use of the best pertamina mypertamina application",0.5,positive
26,tersebut pemerintah melakukan campur tangan dalam penentuan harga bbm. simak selengkapnya pada infografis di atas! #kastraddicted https://t.co/rzqbnl7euu,the government intervenes in determining fuel prices see more in the infographic above,0.25,positive
27,pks konsisten mendesak pemerintah membatalkan kenaikan harga bahan bakar minyak bersubsidiâ¼ï¸ || @diah_nur #fraksipksdprri #bersamamelayanirakyat #pkstolakkenaikanbbm https://t.co/slru8fmckb,PKS consistently urges the government to cancel the increase in the price of subsidized fuel oil,0.25,positive
29,pemerintah daerah bengkulu mendukung kebijakan pemerintah pusat dalam mengatasi dampak kenaikan harga bahan bakar minyak dengan bantuan langsung tunai dan bsu. #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/ar2udk3s3p,the regional government of Bengkulu supports the central government's policies in overcoming the impact of rising fuel prices with direct cash assistance and BSU,0.05,positive
30,pertamina memastikan stok bahan bakar minyak bersubsidi cukup hingga akhir tahun karena pemerintah juga telah menambah stok bahan bakar minyak subsidi jadi kalian jangan kuatir pertalite aman ð https://t.co/zgesjcwvtd,pertamina ensures that subsidized fuel oil stocks are sufficient until the end of the year because the government has also added subsidized fuel oil stocks so you don't worry pertalite is safe,0.5,positive
31,masyarakat bengkulu mendukung kebijakan pemerintah memberikan bantuan langsung tunai bahan bakar minyak untuk mengatasi kesulitan yang dialami oleh warga masyarakat dampak penyesuaian harga bbm. #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah https://t.co/wvherd8ipv,the people of Bengkulu support the government's policy of providing direct fuel oil cash assistance to overcome the difficulties experienced by community members due to the adjustment in fuel prices,0.25833333333333336,positive
34,"harga bahan bakar minyak indonesia masih paling murah bestie. karena masih ada subsidi dari pemerintah di tiap liternya. contohnya saja pertalite, produk favorit ini masih disubsidi kisaran 4 rb/liternya. pertalite harga paling hemat dan hemat https://t.co/wdmsgqgrsa","the price of Indonesian fuel oil is still the cheapest, bestie, because there are still subsidies from the government for each liter, for example, Pertalite, this favorite product, is still subsidized in the range of 1,000,000 liters pertalite, the price is the most economical and economical",0.4,positive
36,"efek bahan bakar minyak naik berlanjut, pemerintah bakal lanjutkan bantuan langsung tunai 2023? https://t.co/scwkmwfks2","the effect of rising fuel oil continues, the government will continue direct cash assistance",0.1,positive
38,penyesuaian harga bahan bakar minyak sangat membantu masyarakat dan merupakan keputusan yang tepat oleh pemerintah menegakan keadilan. pemuda bali bersatu dukung penuh penyesuaian harga bahan bakar minyak #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/pd5jqp4yd2,the adjustment of the price of fuel oil really helps the community and is the right decision by the government to uphold justice Balinese youth unite to fully support the adjustment of fuel prices,0.24285714285714285,positive
39,harga bahan bakar minyak di indonesia termasuk paling murah di banding rata rata negara asean hal itu karena adanya subsidi dari pemerintah pertamina terbaik bahan bakar minyak pertamina termurah dan terhemat https://t.co/mllmtoro65,"The price of fuel oil in Indonesia is one of the cheapest compared to the average ASEAN countries, this is due to subsidies from the best Pertamina fuel, the cheapest and most economical Pertamina fuel.",0.30500000000000005,positive
40,manfaat bantuan langsung tunai bahan bakar minyak ringankan masyarakat dari gejolak kenaikan hrga global. ini cara pemerintah memberikan terobosan kepada masyarakat dengan kondisi ekonomi yang tidak menentu dengan cara memberikan kompensasi brupa bantuan langsung tunai bbm. pertamina terbaik dan pelayanan pertamina luar biasa https://t.co/cyuwnun0yt,the benefits of direct fuel oil cash assistance lighten the community from the fluctuation of rising global prices. This is the government's way of providing a breakthrough to people with uncertain economic conditions by providing compensation in the form of the best Pertamina fuel direct cash assistance and extraordinary Pertamina services,0.2888888888888889,positive
41,"berlaku sejak 1 oktober 2022 dan bertujuan untuk memenuhi kebutuhan masyarakat hingga akhir tahun, pemerintah menambah kuota bahan bakar minyak bersubsidi. pertamina terbaik https://t.co/ksxirjb4ks",effective since october and aims to meet the needs of the community until the end of the year the government increases the best pertamina subsidized fuel oil quota,0.8,positive
44,icp (harga minyak mentah indonesia) sudah anjlok di bawah asumsi apbn-p tahun 2022. . jadi kapan bahan bakar minyak bersubsidi turun pak jokowi? â¦@pksejahteraâ© â¦@fpksdprriâ© https://t.co/gmn7lww3ju,"icp Indonesia's crude oil price has fallen below the assumptions of the 2018 state budget, so when will subsidized fuel oil go down, Pak Jokowi",-0.42777777777777776,negative
45,"pemerintah memilih jalan keadilan dengan mengalahkan subsidi bahan bakar minyak menjadi blt. #perekonomiankianmembaik #indonesiabangkit jepang | ferdy sambo | 1,5 m | aremania | telkomsel | nasdrun | 77 tni | nasdem | tulus utamakan rakyat https://t.co/6vhyf9ytum",the government chooses the path of justice by defeating fuel subsidies to become blt japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,0.5,positive
46,"langkah pemerintah menyesuaikan harga bahan bakar minyak jadi momentum perbaikan struktur pemberian subsidi. #perekonomiankianmembaik #indonesiabangkit @jokowi jepang | ferdy sambo | 1,5 m | aremania | telkomsel | nasdrun | 77 tni | nasdem | tulus utamakan rakyat https://t.co/njqxmpe743",the government's steps to adjust the price of fuel oil are a momentum for improving the structure of providing subsidies to Japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,0.5,positive
47,"kita harus bersyukur, karena harga bahan bakar minyak di indonesia masih jauh lebih murah dibandingkan dng negara lain. harga bahan bakar minyak ini murah karena disubsidi oleh pemerintah. @pertamina #bbmindonesiapalingmurah https://t.co/to2kfpv6lr",We must be grateful because the price of fuel oil in Indonesia is still much cheaper compared to other countries. The price of fuel oil is cheap because it is subsidized by the government.,0.15833333333333335,positive
49,pemerintah pantau langsung penyaluran bantuan langsung tunai bahan bakar minyak untuk masyarakat #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan kepulauan riau https://t.co/qlwx0sbf8s,The government is directly monitoring the distribution of direct fuel oil cash assistance to the people of the Riau Islands,0.1,positive
51,penyaluran bantuan langsung tunai bahan bakar minyak ini sebagai kepedulian pemerintah terhadap perekonomian masyarakat kurang mampu. #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan jambi ikut mendukung untuk indonesia https://t.co/mjg2xyywlv,"The distribution of direct cash assistance from fuel oil is a form of government concern for the economy of the underprivileged people of Jambi, to support Indonesia",0.1,positive
52,pemerintah mempercepat penyaluran bantuan langsung tunai bahan bakar minyak kepada masyarakat #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan jambi ikut mendukung untuk indonesia https://t.co/25oviky4jz,the government accelerated the distribution of direct fuel oil cash assistance to the people of Jambi to support Indonesia,0.1,positive
54,sumatera utara mendukung kebijakan pemerintah mengalihkan subsidi bahan bakar minyak ke bantuan langsung tunai demi mewujudkan penyaluran subsidi yang tepat sasaran #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/almn3rpx1s,North Sumatra supports the government's policy of diverting fuel subsidies to direct cash assistance in order to realize targeted distribution of subsidies,0.1,positive
56,langkah dan kebijakan yang tepat diambil pemerintah jambi dukung penyesuaian harga bahan bakar minyak #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/ootebsepwh,appropriate steps and policies taken by the government of Jambi to support the adjustment of fuel prices,0.5,positive
58,"jangan memperjuangkan hak orang kaya, langkah pemerintah sudah tepat jambi dukung penyesuaian harga bahan bakar minyak #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/msvbwp1kjs","don't fight for the rights of the rich, the government's steps are right in Jambi to support the adjustment of fuel prices",0.33035714285714285,positive
59,selengkapnya klik tautan ini https://t.co/rarstfa3c4 ijin tag @mardanialisera @hnurwahid @tifsembiring @lediahanifa @salimsegaf https://t.co/fjguoruhfs,in full click this link permission tag,0.35,positive
61,kebijakan pemerintah sudah tepat jambi dukung penyesuaian harga bahan bakar minyak #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/eaov02kuz1,Jambi's government policy is right to support the adjustment of fuel prices,0.2857142857142857,positive
64,penyesuaian harga bahan bakar minyak adalah langkah yang tepat diambil pemerintah jambi dukung penyesuaian harga bahan bakar minyak #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/ecl2te5fx0,Adjusting the price of fuel oil is the right step taken by the Jambi government to support the adjustment of fuel prices,0.2857142857142857,positive
65,"subsidi bahan bakar minyak jadi beban apbn, penyesuaian harga bahan bakar minyak langkah yang tepat diambil pemerintah jambi dukung penyesuaian harga bahan bakar minyak #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/5mzo3orplg","fuel subsidies are a burden on the state budget, adjusting the price of fuel oil, the right steps are taken by the Jambi government to support the adjustment of fuel prices",0.2857142857142857,positive
69,pemerintah menambah kuota bahan bakar minyak pertalite dan solar subsidi yang berlaku sejak 1 oktober 2022 untuk memenuhi kebutuhan masyarakat hingga akhir tahun. #perekonomiankianmembaik #indonesiabangkit @jokowi aremania | telkomsel | nasdrun | 77 tni | nasdem | tulus utamakan rakyat https://t.co/nztfgabfie,the government has increased the quota for pertalite fuel oil and subsidized diesel which has been in effect since October to meet people's needs until the end of the year aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,0.5,positive
81,"subsidi bahan bakar minyak jadi beban apbn, penyesuaian harga bahan bakar minyak langkah tepat pemerintah. jambi #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/ieowiavpzw","Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the Jambi government",0.2857142857142857,positive
83,pemerintah lakukan langkah tepat dengan lakukan penyesuaian harga bahan bakar minyak karena subsidi bahan bakar minyak sudah jadi beban apbn ayo qta dukung langkah pemerintah lakukan penyesuaian harga bahan bakar minyak iya #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran banten https://t.co/e27gdkgjpl,"the government is taking the right steps by adjusting the price of fuel oil because fuel subsidies have become a burden on the state budget, let's support the government's steps to adjust the price of fuel oil, yes, Banten",0.2857142857142857,positive
88,"penyesuaian harga bahan bakar minyak subsidi dilakukan sebagai respons atas fluktuasi harga minyak mentah dunia. selain itu, pemerintah juga mempertimbangkan kondisi ekonomi negara. https://t.co/d6rermih5u","the price adjustment for subsidized fuel oil was carried out in response to fluctuations in world crude oil prices. In addition, the government also took into account the country's economic conditions",-0.24999999999999997,negative
89,"penyesuaian harga bahan bakar minyak itu wajar melihat kondisi global, mari terus dukung kebijakan pemerintah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran banten https://t.co/ffvohz9leb",Adjusting fuel prices is reasonable considering global conditions. Let's continue to support the Banten government's policies,0.1,positive
92,"terima kasih, #kawanpajak! pemerintah telah menyalurkan kontribusi dari #kawanpajak dalam bentuk bantuan langsung tunai bahan bakar minyak kepada masyarakat yang membutuhkan. https://t.co/nlruflxwba","Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need",0.1,positive
98,"subsidi bahan bakar minyak jadi beban apbn, penyesuaian harga bahan bakar minyak langkah tepat pemerintah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran ~ jawa tengah https://t.co/ntfce4erjs","Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the Central Java government",0.14285714285714285,positive
107,"pemerintah telah menyalurkan program bantuan langsung tunai bahan bakar minyak mencapai 96,6 % dan diterima oleh masyarakat ekonomi menengah ke bawah #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan kalimantan barat https://t.co/splxurwex9",The government has channeled direct fuel oil cash assistance programs to reach and be accepted by the middle to lower economic community of West Kalimantan,0.10000000000000002,positive
112,subsidi bahan bakar minyak jadi beban apbn penyesuaian harga bahan bakar minyak langkah tepat pemerintah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran sumatera barat https://t.co/xskmgsxmx2,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the West Sumatra government",0.2857142857142857,positive
114,ayoo gaess masyarakat lampung kita dukung kebijakan pemerintah perihal bantuan langsung tunai bahan bakar minyak #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran https://t.co/pkepvlbylp,"Come on, Gaess, the people of Lampung, let's support the government's policy regarding direct fuel oil cash assistance",0.1,positive
116,masyarakat lampung mendukung penuh kebijakan pemerintah tentang bantuan langsung tunai bahan bakar minyak #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran https://t.co/5dlxjsqosv,the people of Lampung fully support the government's policy of direct fuel oil cash assistance,0.1,positive
118,lampung apresiasi kebijakan pemerintah tentang bantuan langsung tunai bahan bakar minyak #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran https://t.co/iyehe2zktp,Lampung appreciates the government's policy of direct fuel oil cash assistance,0.1,positive
119,"subsidi jadi beban apbn, penyesuaian harga bahan bakar minyak langkah tepat pemerintah. - maluku satu rasa - #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/gaafuxjjtp",subsidies are a burden on the state budget adjusting the price of fuel oil is the right step for the government of Maluku one feels,0.2857142857142857,positive
120,"pemberian bantuan langsung tunai bbm, bantuan langsung tunai umkm dan bsu untuk masyarakat sebagai bentuk kepedulian pemerintah untuk meringankan masyarakat #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan kalimantan barat https://t.co/zglwvynh4v",providing direct fuel cash assistance umkm and bsu direct cash assistance to the community as a form of government concern to relieve the people of West Kalimantan,0.1,positive
121,pemerintah saat ini menyalurkan bantuan langsung tunai bahan bakar minyak untuk masyarakat khususnya ekonomi menengah ke bawah #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan kalimantan barat https://t.co/whn6eio04n,"The government is currently distributing direct fuel oil cash assistance to the community, especially the lower middle class in West Kalimantan",0.025,positive
133,pemerintah resmi tambah kuota bahan bakar minyak subsidi hingga akhir tahun. aceh bangga. #jokowihebat #jokowipresidenku #jokowibapakinfrastruktur #pembangunanuntukrakyat #presidenjokowi https://t.co/rleznnivpu,the government officially increases the quota of subsidized fuel oil until the end of the year aceh is proud,0.8,positive
135,pemerintah memilih jalan keadilan dengan mengalahkan subsidi bahan bakar minyak menjadi blt. #perekonomiankianmembaik #indonesiabangkit #shanitheselene dirgahayu tni army https://t.co/axsmmxb8oh,the government chose the path of justice by defeating fuel subsidies to become blt for the TNI army's long live,0.043181818181818175,positive
136,"personil sat intelkam polres padangsidimpuan melaksanakan monitoring dan deteksi dini situasi keamanan dan ketertiban masyarakat terkait program pemerintah tentang kenaikan harga bahan bakar minyak jenis solar, pertalite dan pertama di spbu dalam wilayah kota padangsidimpuan, selasa (4/10). https://t.co/xojg2fnodj",Sat Intelkam personnel of the Padangsidimpuan Police carry out monitoring and early detection of the security situation and public order related to the government program regarding the increase in the price of Pertalite and first type diesel fuel at gas stations in the Padangsidimpuan city area Tuesday,0.0875,positive
141,"pemerintah sudah siapkan anggaran bansos pkh rp. 18,4 triliun pada 2022 jambi dukung bantuan langsung tunai bahan bakar minyak #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/hbbwljxx6x",the government has prepared a Rp trillion social assistance budget for Jambi to support direct fuel oil cash assistance,0.06666666666666667,positive
143,mari dukung kebijakan pemerintah penyaluran bantuan langsung tunai bahan bakar minyak #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/49lixlh8un,let's support the government's policy of distributing direct fuel oil cash assistance,0.1,positive
147,penyesuain harga bahan bakar minyak langkah tepat pemerintah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/n2ahmdu75e,Adjusting the price of fuel oil is the right step for the government,0.2857142857142857,positive
149,"pengelolaan apbn yang tidak becus membuat pemerintah mengeluarkan kebijakan kenaikan harga bbm, namun tidak proporsional karena upah pekerja yang berbeda tiap daerah dan masih cukup rendah. nah, sekarang bahkan pemborosan apbn (lagi). https://t.co/jsjuut58jl","The incompetent management of the state budget has led the government to issue a policy of increasing fuel prices but it is not proportional because the wages for workers are different for each region and are still quite low, now it is even a waste of the state budget again",-0.1375,negative
150,bentuk perhatian pemerintah subsidi bantuan langsung tunai bahan bakar minyak sumatera selatan #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/bl25waor46,a form of government attention to direct cash assistance subsidies for fuel oil in South Sumatra,0.1,positive
155,penyaluran bantuan langsung tunai bahan bakar minyak jadi komitmen pemerintah tingkatkan kesejahteraan masyarakat dukung penyaluran bantuan langsung tunai #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan sumatera utara https://t.co/vjt6lo9wcm,the distribution of direct fuel oil cash assistance is the government's commitment to improve community welfare to support the distribution of direct cash assistance in North Sumatra,0.1,positive
156,pemerintah mempercepat penyaluran bantuan langsung tunai bahan bakar minyak kepada masyarakat mantap! #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran banten https://t.co/livhvhfqhv,the government has accelerated the distribution of direct fuel oil cash assistance to the people of Steady Banten,0.13333333333333333,positive
157,bantuan langsung tunai bahan bakar minyak merupakan upaya pemerintah untuk membantu masyarakat kalangan bawah. mantap! #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran banten https://t.co/qfs1pjxszi,direct fuel oil cash assistance is the government's effort to help the lower-class people steady in Banten,0.13333333333333333,positive
158,kebijakan pemerintah itu sudah tepat sasaran mari kita dukung bantuan langsung tunai bahan bakar minyak mantap! #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran banten https://t.co/fc2chd4c99,"The government's policy is right on target. Let's support direct cash assistance from solid fuel oil, Banten",0.12857142857142856,positive
159,bantuan langsung tunai bahan bakar minyak dari pemerintah sangat membantu meringankan beban masyarakat dan masih banyak manfaat lainnya. mantap! #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran banten https://t.co/klwslfyl5r,"direct fuel oil cash assistance from the government is very helpful in lightening the burden on the community and there are many other benefits, steady offerings",0.16833333333333333,positive
160,sangat terbantu dengan adanya bantuan langsung tunai bahan bakar minyak dari pemerintah! mantap! #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran banten https://t.co/ep2b0e0toz,greatly assisted by the existence of direct fuel oil cash assistance from the steady Banten government,0.35555555555555557,positive
161,penyaluran bantuan langsung tunai bahan bakar minyak ini sebagai kepedulian pemerintah terhadap perekonomian masyarakat kurang mampu. mantap! #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran banten https://t.co/mkduuouyet,the distribution of direct fuel oil cash assistance is the government's concern for the economy of the less fortunate in Banten,0.11111111111111112,positive
162,pemerintah menyalurkan bantuan langsung tunai bahan bakar minyak demi wujudkan penggunaan subsidi yang tepat sasaran dukung penyaluran bantuan langsung tunai #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan sumatera utara https://t.co/vxfdlv5koc,the government distributes direct fuel oil cash assistance in order to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra,0.16190476190476188,positive
175,penyesuan harga bahan bakar minyak di lakukan agar subsidi tepat sasaran sulawesi tengah dukung pemerintah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/iw3mdkf1az,"Fuel price adjustments are being made so that the subsidies are right on target, Sulawesi is being supported by the government",0.2857142857142857,positive
176,nusa tenggara timur pemerintah sangat bijak dalam mengelola anggaran subsidi bahan bakar minyak kita.. maju terus indonesia #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran https://t.co/yzgohv2yry,"East Nusa Tenggara, the government is very wise in managing our fuel subsidy budget, Indonesia is moving forward",0.9099999999999999,positive
185,terus berikan suara dukungan kita terhadap pemerintah agar penyaluran bantuan langsung tunai bahan bakar minyak ini dapat lancar #bltbbmbantumasyarakat #bansosbbmringankanrakyat #kpmpenyaluranblttepatsasaran #sukseskankebijakanpemerintah #subsidiberkeadilanuntukmasadepan https://t.co/ovlph7zgkc,continue to voice our support for the government so that the distribution of fuel oil cash assistance can run smoothly,0.4,positive
190,"pengalihan subsidi bahan bakar minyak adalah upaya pemerintah untuk kebaikan bersama apalagi untuk masyarakat jawa tengah #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran di purwokerto, jawa tengah, indonesia https://t.co/s84erdnxij","The transfer of fuel subsidies is the government's effort for the common good, especially for the people of Central Java in Purwokerto, Central Java, Indonesia",0.07999999999999999,positive
191,penyesuaian harga bahan bakar minyak langkah tepat pemerintah. rakyat indonesia dukung penyesuaian harga bbm. #bantuanbbmuntukrakyat #bltbbmtepatsasaran #subsiditepatsasaran sumatera barat https://t.co/bd55z4v4fp,Adjustment of fuel prices is the right step for the Indonesian people's government to support the adjustment of West Sumatra's fuel prices,0.2857142857142857,positive
195,karanganyar - serka medi triwibowo babinsa koramil 02/tasikmadu melaksanakan komsos dengan bp.suroso warga dusun geneng desa kaling kec.tasikmadu membahas tentang kondisi masyarakat terkait bantuan bantuan langsung tunai bahan bakar minyak yang diberikan pemerintah https://t.co/vgzolweocy,"Karanganyar Serka Medi Triwibowo Babinsa Koramil Tasikmadu carry out Social Sciences with BP Suroso, residents of Geng Hamlet, Kaling Village, Kec Tasikmadu discuss community conditions related to direct fuel oil cash assistance provided by the government",0.044444444444444446,positive
