,Unnamed: 0,tweet_text,text,polarity,sentimen
0,0,"Soal Isu Pertalite Boros, Pemerintah menepis dan memastikan Semua Telah Memenuhi Standar, dgn pengujian sampel BBM pertalite dr 6 SPBU #SukseskanPembangunanNKRI #UtangTerkendali https://t.co/awZwGbJzWi",about the issue of pertalite being wasteful of ordering orders and sure everything has been fully standardized with the pertalite fuel sample test from gas stations,0.5,positif
1,1,Jika revolusi BBM ke Listrik ini berhasil.Pemerintah wajib mengawasi antara pasokan listrik dan penerimaan listrik di pasar. supaya tdk menjadi over supply.  @jokowi  @ganjarpranowo @dini_purwono,"If the fuel-to-electricity revolution is the result of an order, you must be careful between supplying electricity and receiving electricity in the market so that it doesn't become a purwono supply.",-0.1,negatif
8,8,"Guna memastikan ketersediaan BBM bersubsidi, pemerintah resmi menambah kuota pertalite dan solar per 1 Oktober 2022. Penambahan pertalite sebanyak 6,86 juta kL, sedangkan solar sebanyak 2,73 juta kL. #Ekonomi #AdadiKompas  https://t.co/DPYIX15cns","to be sure, provide fuel subsidies, official orders add Pertalite and diesel quotas as of October, pertalite adds many million KL while diesel is many million KL",0.5,positif
9,9,"Setelah sebulan lalu pemerintah mengumumkan kenaikan harga BBM, kini Provinsi Jawa Tengah (Jateng) mengalami inflasi bulanan sebesar 1,19 persen. Angka inflasi Jateng itu lebih tinggi dari inflasi nasional yang sebesar 1,17 persen. #inibaruid https://t.co/9nUU2mFqd9",last month there was a general order to increase fuel prices now Central Java province Central Java experienced big month inflation percent Central Java inflation rate is higher than national inflation which is big percent,0.12222222222222223,positif
10,10,"Pemerintah tambah subsidi BBM hingga akhir tahun Ã°ÂÂÂ¥  Pemerintah berencana tingkatkan kuota Pertalite sebanyak 6,86 juta kiloliter dan Solar 2,73 juta kiloliter hingga akhir 2022. Kementrian ESDM juga memastikan pembelian keduanya akan dibatasi agar lebih tepat sasaran. https://t.co/cH27iHeGrB",the order to add fuel subsidies until the end of the year the order to plan the quota rate for pertalite is many million kiloliters and diesel is million kiloliters until the end of the tri ESDM also definitely buy two with a limit so that it is more on target,0.3333333333333333,positif
11,11,"Banyak yg gak suka bahkan benci dg pemerintah, tp kalo ada blt, bansos, prakerja, bantuan bbm, antri paling depan. Ada yg kyk gitu? Banyakkkkkk","many don't like and even hate orders, but if there's social assistance for pre-employment assistance, fuel queues are at the very front, there's a lot like that.",-0.016666666666666677,negatif
12,12,Penyesuaian harga BBM ini diambil pemerintah dengan banyak proses pengkajian sehingga menemukan titik temu dimana tidak merugikan rakyat dan negara diambil ditengah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wAYTFpR28Y,"according to the price of fuel, take orders with many review processes so that a meeting point is not a loss for the people and the state takes the middle",0.25,positif
19,19,Dukung pemerintah penyesuain harga BBM tepat sasaran Banten #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wOxXKSvhyz,support orders to adjust fuel prices to the right target offerings,0.2857142857142857,positif
20,20,"Pemerintah menambah kuota Bahan Bakar Minyak (BBM) jenis pertalite dan solar subsidi pada 1 Oktober 2022. Penambahan kuota pertalite sebanyak 6,86 juta kiloliter... https://t.co/qIdLtTjlTE",order to increase pertalite fuel oil quota and subsidized diesel fuel in October to increase the pertalite quota by many million kiloliters,0.5,positif
22,22,bantuan langsung tunai (BLT) dari pemerintah sebagai konsekuensi penyesuaian harga bahan bakar minyak (BBM) memberikan manfaat yang besar bagi masyarakat Pertamina Terbaik https://t.co/WPUYm5XFFy,help directly cash blt from orders as a consequence according to the price of fuel oil gives great benefits to the good Pertamina community,0.5333333333333333,positif
23,23,"Saat ini Pemerintah telah menambah kuota pertalite 6,8 juta KL, sementara untuk solat ditambah 2,73 juta KL. Namun demikian BPH Migas menyatakan terus akan mengawasi penyaluran BBM subsidi supaya tepat sasaran.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/37CBVNY5Wl","currently the order has added the pertalite quota million KL while for prayer it has added a million KL however, BPH Migas will obviously continue to monitor the distribution of subsidized fuel so that it is right on target",0.09523809523809523,positif
24,24,Walaupun kuota BBM di tambah BPH Migas menyatakan akan tetap mengawasi penyaluran subsidi BBM dari pemerintah. Ini akan membuat keadilan bagi rakyat kecil terwujud.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/1l8XJe57PN,"Even though the fuel quota has been added, BPH Migas will obviously continue to watch out for the distribution of fuel subsidies from this order, it will make it fair for the common people.",0.13333333333333333,positif
25,25,"Pemerintah terus mengupayakan agar BBM bersubsidi tersalurkan dg tepat sasaran, Salah satu langkah yang saat ini tengah dijalankan ialah melalui pemanfaatan aplikasi MyPertamina. @pertamina Pertamina Terbaik https://t.co/0bmr7CFXkP",order to continue efforts so that fuel subsidies are channeled with the right target one of the steps that is currently in the middle of the road is then the benefits of the mypertamina application are good,0.2464285714285714,positif
26,26,tersebut pemerintah melakukan campur tangan dalam penentuan harga BBM.  Simak selengkapnya pada infografis di atas!  #kastraddicted https://t.co/rZqbNl7eUU,"mention orders to intervene in terms of fuel prices, see the full infographic above",0.175,positif
27,27,PKS konsisten mendesak Pemerintah membatalkan kenaikan harga BBM bersubsidiÃ¢ÂÂ¼Ã¯Â¸Â  || @diah_nur   #fraksipksdprri  #BersamaMelayaniRakyat  #PKStolakkenaikanBBM https://t.co/sLRU8FMckB,PKS consistently insists on an order to cancel the fuel subsidy increase,0.25,positif
30,30,Pertamina memastikan Stok BBM bersubsidi cukup hingga akhir tahun krn pemerintah juga telah menambah stok BBM subsidi  Jadi kalian jangan kuatir Pertalite Aman Ã°ÂÂÂ https://t.co/ZgESjcwvtd,pertamina is sure that the stock of subsidized fuel is sufficient until the end of the year because the order has also added subsidized fuel stock so you don't worry pertalite is safe,0.5,positif
31,31,Masyarakat Bengkulu mendukung kebijakan pemerintah memberikan BLT BBM untuk mengatasi kesulitan yang dialami oleh warga masyarakat dampak penyesuaian harga BBM.  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah https://t.co/WvherD8iPV,"Bengkulu people support Wisely the order to give blt fuel for the difficulties experienced by community members, the impact is according to the price of fuel",0.75,positif
32,32,Pemerintah telah menyetujui penambahan kuota BBM Subsidi agar bisa bertahan sampek akhir tahun   penambahan kuota BBM solar sdh mencapai 87% dan BBM Pertalite 95%   Pertalite aman  BBM Pertamina termurah dan terhemat https://t.co/qf0K8yA1zy,"the order has aimed to increase the subsidized fuel quota so that it can last until the end of the year, the increase in the diesel fuel quota has been achieved and pertalite fuel is safe Pertamina fuel is cheap and economical",0.3,positif
