Unnamed: 0,tweet_text,text,text_processed,polarity,sentimen
1,Jika revolusi BBM ke Listrik ini berhasil.Pemerintah wajib mengawasi antara pasokan listrik dan penerimaan listrik di pasar. supaya tdk menjadi over supply.  @jokowi  @ganjarpranowo @dini_purwono,"if the fuel-to-electricity revolution is successful, the government is obliged to monitor the supply of electricity and the receipt of electricity in the market so that it does not become over-supply purwono","fuel-to-electricity revolution successful, government obliged monitor supply electricity receipt electricity market become over-supply purwono",0.75,positive
8,"Guna memastikan ketersediaan BBM bersubsidi, pemerintah resmi menambah kuota pertalite dan solar per 1 Oktober 2022. Penambahan pertalite sebanyak 6,86 juta kL, sedangkan solar sebanyak 2,73 juta kL. #Ekonomi #AdadiKompas  https://t.co/DPYIX15cns","In order to ensure the availability of subsidized fuel oil, the government has officially increased the pertalite and diesel quotas as of October, the addition of pertalite is as much as million KL while diesel is as much as million KL","In order ensure availability subsidized fuel oil, government officially increased pertalite diesel quota October, addition pertalite much million KL diesel much million KL",0.2,positive
10,"Pemerintah tambah subsidi BBM hingga akhir tahun ð¥  Pemerintah berencana tingkatkan kuota Pertalite sebanyak 6,86 juta kiloliter dan Solar 2,73 juta kiloliter hingga akhir 2022. Kementrian ESDM juga memastikan pembelian keduanya akan dibatasi agar lebih tepat sasaran. https://t.co/cH27iHeGrB","the government will add fuel subsidies until the end of the year the government plans to increase the pertalite quota by as much as 1 million kiloliters and 1 million kiloliters of diesel by the end, the ministry of Energy and Mineral Resources also ensures that purchases of both will be limited so that they are more on target","government add fuel subsidy end year government plan increase pertalite quota much 1 million kiloliter 1 million kiloliter diesel end, ministry Energy Mineral Resources also ensures purchase limited target",0.0642857142857143,positive
11,"Banyak yg gak suka bahkan benci dg pemerintah, tp kalo ada blt, bansos, prakerja, bantuan bbm, antri paling depan. Ada yg kyk gitu? Banyakkkkkk","many do not like and even hate the government, but if there is BLT social assistance, pre-employment assistance, fuel assistance is queued at the front, there are many like that.","many like even hate government, BLT social assistance, pre-employment assistance, fuel assistance queued front, many like that.",0.05833333333333332,positive
12,Penyesuaian harga BBM ini diambil pemerintah dengan banyak proses pengkajian sehingga menemukan titik temu dimana tidak merugikan rakyat dan negara diambil ditengah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wAYTFpR28Y,"the government made adjustments to the price of fuel oil through many review processes so as to find common ground where it would not be detrimental to the people and the state, it was taken in the middle","government made adjustment price fuel oil many review process find common ground would detrimental people state, taken middle",0.06666666666666667,positive
15,BLT adalah solusi untuk Penyesuaian harga BBM dari Pemerintah.  ðBanten #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/ym5eusfdEV,Direct cash assistance is a solution for adjusting fuel prices from the Banten government,Direct cash assistance solution adjusting fuel price Banten government,0.1,positive
17,"Imbas Kenaikan Harga BBM, Iperindo Minta Subsidi Pembiayaan Perkapalan ke Pemerintah https://t.co/YVlKIStZ5D",iperindo asked the government for shipping financing subsidies due to the increase in fuel prices,iperindo asked government shipping financing subsidy due increase fuel price,-0.125,negative
22,bantuan langsung tunai (BLT) dari pemerintah sebagai konsekuensi penyesuaian harga bahan bakar minyak (BBM) memberikan manfaat yang besar bagi masyarakat Pertamina Terbaik https://t.co/WPUYm5XFFy,BLT direct cash assistance from the government as a consequence of adjusting the price of fuel oil provides great benefits for the best Pertamina community,BLT direct cash assistance government consequence adjusting price fuel oil provides great benefit best Pertamina community,0.6333333333333333,positive
23,"Saat ini Pemerintah telah menambah kuota pertalite 6,8 juta KL, sementara untuk solat ditambah 2,73 juta KL. Namun demikian BPH Migas menyatakan terus akan mengawasi penyaluran BBM subsidi supaya tepat sasaran.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/37CBVNY5Wl","currently the government has increased the pertalite quota million KL temporarily for prayer plus a million KL however, BPH Oil and Gas stated that it would continue to monitor the distribution of subsidized fuel oil so that it was right on target","currently government increased pertalite quota million KL temporarily prayer plus million KL however, BPH Oil Gas stated would continue monitor distribution subsidized fuel oil right target",0.14285714285714285,positive
24,Walaupun kuota BBM di tambah BPH Migas menyatakan akan tetap mengawasi penyaluran subsidi BBM dari pemerintah. Ini akan membuat keadilan bagi rakyat kecil terwujud.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/1l8XJe57PN,"Even though the fuel oil quota is added, BPH Oil and Gas stated that it would continue to monitor the distribution of fuel oil subsidies from the government. This would make justice for the common people realized.","Even though fuel oil quota added, BPH Oil Gas stated would continue monitor distribution fuel oil subsidy government. This would make justice common people realized.",-0.3,negative
25,"Pemerintah terus mengupayakan agar BBM bersubsidi tersalurkan dg tepat sasaran, Salah satu langkah yang saat ini tengah dijalankan ialah melalui pemanfaatan aplikasi MyPertamina. @pertamina Pertamina Terbaik https://t.co/0bmr7CFXkP","the government continues to make efforts so that subsidized fuel oil is channeled on target, one of the steps that is currently being carried out is through the use of the best pertamina mypertamina application","government continues make effort subsidized fuel oil channeled target, one step currently carried use best pertamina mypertamina application",0.5,positive
27,PKS konsisten mendesak Pemerintah membatalkan kenaikan harga BBM bersubsidiâ¼ï¸  || @diah_nur   #fraksipksdprri  #BersamaMelayaniRakyat  #PKStolakkenaikanBBM https://t.co/sLRU8FMckB,PKS consistently urges the government to cancel the increase in the price of subsidized fuel oil,PKS consistently urge government cancel increase price subsidized fuel oil,0.25,positive
29,Pemerintah daerah Bengkulu mendukung kebijakan pemerintah pusat dalam mengatasi dampak kenaikan harga BBM dengan BLT dan BSU.  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/AR2UDK3s3P,the regional government of Bengkulu supports the central government's policies in overcoming the impact of rising fuel prices with direct cash assistance and BSU,regional government Bengkulu support central government's policy overcoming impact rising fuel price direct cash assistance BSU,0.05,positive
30,Pertamina memastikan Stok BBM bersubsidi cukup hingga akhir tahun krn pemerintah juga telah menambah stok BBM subsidi  Jadi kalian jangan kuatir Pertalite Aman ð https://t.co/ZgESjcwvtd,pertamina ensures that subsidized fuel oil stocks are sufficient until the end of the year because the government has also added subsidized fuel oil stocks so you don't worry pertalite is safe,pertamina ensures subsidized fuel oil stock sufficient end year government also added subsidized fuel oil stock worry pertalite safe,0.5,positive
31,Masyarakat Bengkulu mendukung kebijakan pemerintah memberikan BLT BBM untuk mengatasi kesulitan yang dialami oleh warga masyarakat dampak penyesuaian harga BBM.  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah https://t.co/WvherD8iPV,the people of Bengkulu support the government's policy of providing direct fuel oil cash assistance to overcome the difficulties experienced by community members due to the adjustment in fuel prices,people Bengkulu support government's policy providing direct fuel oil cash assistance overcome difficulty experienced community member due adjustment fuel price,0.25833333333333336,positive
34,"Harga BBM Indonesia masih paling murah bestie. Karena masih ada subsidi dari Pemerintah di tiap liternya. Contohnya aja Pertalite, produk favorit ini masih disubsidi kisaran 4 rb/liternya.  Pertalite Harga Paling Hemat dan Irit https://t.co/wDMSgQgRsA","the price of Indonesian fuel oil is still the cheapest, bestie, because there are still subsidies from the government for each liter, for example, Pertalite, this favorite product, is still subsidized in the range of 1,000,000 liters pertalite, the price is the most economical and economical","price Indonesian fuel oil still cheapest, bestie, still subsidy government liter, example, Pertalite, favorite product, still subsidized range 1,000,000 liter pertalite, price economical economical",0.3666666666666667,positive
36,"Efek BBM Naik Berlanjut, Pemerintah Bakal Lanjutkan BLT 2023? https://t.co/scWKMWFKS2","the effect of rising fuel oil continues, the government will continue direct cash assistance","effect rising fuel oil continues, government continue direct cash assistance",0.1,positive
38,Penyesuaian harga BBM sangat membantu masyarakat dan merupakan keputusan yang tepat oleh pemerintah menegakan keadilan. Pemuda Bali Bersatu dukung penuh penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/Pd5jqp4yD2,the adjustment of the price of fuel oil really helps the community and is the right decision by the government to uphold justice Balinese youth unite to fully support the adjustment of fuel prices,adjustment price fuel oil really help community right decision government uphold justice Balinese youth unite fully support adjustment fuel price,0.24285714285714285,positive
39,Harga BBM Di Indonesia termasuk paling murah di banding rata rata negara Asean hal itu karena adanya subsidi dari Pemerintah Pertamina Terbaik BBM Pertamina Termurah dan Terhemat https://t.co/MLlMtorO65,"The price of fuel oil in Indonesia is one of the cheapest compared to the average ASEAN countries, this is due to subsidies from the best Pertamina fuel, the cheapest and most economical Pertamina fuel.","The price fuel oil Indonesia one cheapest compared average ASEAN countries, due subsidy best Pertamina fuel, cheapest economical Pertamina fuel.",0.25625,positive
40,Manfaat BLT BBM ringankan masyarakat dr gejolak kenaikan hrga global. Ini cara pemerintah memberikan terobosan kpd masyarakat dgn kondisi ekonomi yg tdk menentu dgn cara memberikan kompensasi brupa BLT BBM. Pertamina Terbaik dan Pelayanan Pertamina Luar Biasa https://t.co/CyUWNuN0yT,the benefits of direct fuel oil cash assistance lighten the community from the fluctuation of rising global prices. This is the government's way of providing a breakthrough to people with uncertain economic conditions by providing compensation in the form of the best Pertamina fuel direct cash assistance and extraordinary Pertamina services,benefit direct fuel oil cash assistance lighten community fluctuation rising global prices. This government's way providing breakthrough people uncertain economic condition providing compensation form best Pertamina fuel direct cash assistance extraordinary Pertamina service,0.2888888888888889,positive
