Unnamed: 0,tweet_text,polarity,sentimen
1,"if the fuel-to-electricity revolution is successful, the government is obliged to monitor the supply of electricity and the receipt of electricity in the market so that it does not become over-supply purwono",0.75,positive
8,"In order to ensure the availability of subsidized fuel oil, the government has officially increased the pertalite and diesel quotas as of October, the addition of pertalite is as much as million KL while diesel is as much as million KL",0.2,positive
10,"the government will add fuel subsidies until the end of the year the government plans to increase the pertalite quota by as much as 1 million kiloliters and 1 million kiloliters of diesel by the end, the ministry of Energy and Mineral Resources also ensures that purchases of both will be limited so that they are more on target",0.20952380952380953,positive
11,"many do not like and even hate the government, but if there is BLT social assistance, pre-employment assistance, fuel assistance is queued at the front, there are many like that.",0.05833333333333332,positive
12,"the government made adjustments to the price of fuel oil through many review processes so as to find common ground where it would not be detrimental to the people and the state, it was taken in the middle",0.06666666666666667,positive
15,Direct cash assistance is a solution for adjusting fuel prices from the Banten government,0.1,positive
17,iperindo asked the government for shipping financing subsidies due to the increase in fuel prices,-0.125,negative
22,BLT direct cash assistance from the government as a consequence of adjusting the price of fuel oil provides great benefits for the best Pertamina community,0.6333333333333333,positive
23,"currently the government has increased the pertalite quota million KL temporarily for prayer plus a million KL however, BPH Oil and Gas stated that it would continue to monitor the distribution of subsidized fuel oil so that it was right on target",0.14285714285714285,positive
24,"Even though the fuel oil quota is added, BPH Oil and Gas stated that it would continue to monitor the distribution of fuel oil subsidies from the government. This would make justice for the common people realized.",-0.3,negative
25,"the government continues to make efforts so that subsidized fuel oil is channeled on target, one of the steps that is currently being carried out is through the use of the best pertamina mypertamina application",0.5,positive
26,the government intervenes in determining fuel prices see more in the infographic above,0.25,positive
27,PKS consistently urges the government to cancel the increase in the price of subsidized fuel oil,0.25,positive
29,the regional government of Bengkulu supports the central government's policies in overcoming the impact of rising fuel prices with direct cash assistance and BSU,0.05,positive
30,pertamina ensures that subsidized fuel oil stocks are sufficient until the end of the year because the government has also added subsidized fuel oil stocks so you don't worry pertalite is safe,0.5,positive
31,the people of Bengkulu support the government's policy of providing direct fuel oil cash assistance to overcome the difficulties experienced by community members due to the adjustment in fuel prices,0.25833333333333336,positive
34,"the price of Indonesian fuel oil is still the cheapest, bestie, because there are still subsidies from the government for each liter, for example, Pertalite, this favorite product, is still subsidized in the range of 1,000,000 liters pertalite, the price is the most economical and economical",0.4,positive
36,"the effect of rising fuel oil continues, the government will continue direct cash assistance",0.1,positive
38,the adjustment of the price of fuel oil really helps the community and is the right decision by the government to uphold justice Balinese youth unite to fully support the adjustment of fuel prices,0.24285714285714285,positive
39,"The price of fuel oil in Indonesia is one of the cheapest compared to the average ASEAN countries, this is due to subsidies from the best Pertamina fuel, the cheapest and most economical Pertamina fuel.",0.30500000000000005,positive
40,the benefits of direct fuel oil cash assistance lighten the community from the fluctuation of rising global prices. This is the government's way of providing a breakthrough to people with uncertain economic conditions by providing compensation in the form of the best Pertamina fuel direct cash assistance and extraordinary Pertamina services,0.2888888888888889,positive
41,effective since october and aims to meet the needs of the community until the end of the year the government increases the best pertamina subsidized fuel oil quota,0.8,positive
44,"icp Indonesia's crude oil price has fallen below the assumptions of the 2018 state budget, so when will subsidized fuel oil go down, Pak Jokowi",-0.42777777777777776,negative
45,the government chooses the path of justice by defeating fuel subsidies to become blt japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,0.5,positive
46,the government's steps to adjust the price of fuel oil are a momentum for improving the structure of providing subsidies to Japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,0.5,positive
47,We must be grateful because the price of fuel oil in Indonesia is still much cheaper compared to other countries. The price of fuel oil is cheap because it is subsidized by the government.,0.15833333333333335,positive
49,The government is directly monitoring the distribution of direct fuel oil cash assistance to the people of the Riau Islands,0.1,positive
51,"The distribution of direct cash assistance from fuel oil is a form of government concern for the economy of the underprivileged people of Jambi, to support Indonesia",0.1,positive
52,the government accelerated the distribution of direct fuel oil cash assistance to the people of Jambi to support Indonesia,0.1,positive
54,North Sumatra supports the government's policy of diverting fuel subsidies to direct cash assistance in order to realize targeted distribution of subsidies,0.1,positive
56,appropriate steps and policies taken by the government of Jambi to support the adjustment of fuel prices,0.5,positive
58,"don't fight for the rights of the rich, the government's steps are right in Jambi to support the adjustment of fuel prices",0.33035714285714285,positive
59,in full click this link permission tag,0.35,positive
61,Jambi's government policy is right to support the adjustment of fuel prices,0.2857142857142857,positive
64,Adjusting the price of fuel oil is the right step taken by the Jambi government to support the adjustment of fuel prices,0.2857142857142857,positive
65,"fuel subsidies are a burden on the state budget, adjusting the price of fuel oil, the right steps are taken by the Jambi government to support the adjustment of fuel prices",0.2857142857142857,positive
69,the government has increased the quota for pertalite fuel oil and subsidized diesel which has been in effect since October to meet people's needs until the end of the year aremania telkomsel nasdrun tni nasdem sincerely prioritizes the people,0.5,positive
81,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the Jambi government",0.2857142857142857,positive
83,"the government is taking the right steps by adjusting the price of fuel oil because fuel subsidies have become a burden on the state budget, let's support the government's steps to adjust the price of fuel oil, yes, Banten",0.2857142857142857,positive
88,"the price adjustment for subsidized fuel oil was carried out in response to fluctuations in world crude oil prices. In addition, the government also took into account the country's economic conditions",-0.24999999999999997,negative
89,Adjusting fuel prices is reasonable considering global conditions. Let's continue to support the Banten government's policies,0.1,positive
92,"Thank you, the government has distributed contributions in the form of direct fuel oil cash assistance to people in need",0.1,positive
98,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the Central Java government",0.14285714285714285,positive
107,The government has channeled direct fuel oil cash assistance programs to reach and be accepted by the middle to lower economic community of West Kalimantan,0.10000000000000002,positive
112,"Fuel subsidies are a burden on the State Budget, adjusting fuel prices is the right step for the West Sumatra government",0.2857142857142857,positive
114,"Come on, Gaess, the people of Lampung, let's support the government's policy regarding direct fuel oil cash assistance",0.1,positive
116,the people of Lampung fully support the government's policy of direct fuel oil cash assistance,0.1,positive
118,Lampung appreciates the government's policy of direct fuel oil cash assistance,0.1,positive
119,subsidies are a burden on the state budget adjusting the price of fuel oil is the right step for the government of Maluku one feels,0.2857142857142857,positive
120,providing direct fuel cash assistance umkm and bsu direct cash assistance to the community as a form of government concern to relieve the people of West Kalimantan,0.1,positive
121,"The government is currently distributing direct fuel oil cash assistance to the community, especially the lower middle class in West Kalimantan",0.025,positive
133,the government officially increases the quota of subsidized fuel oil until the end of the year aceh is proud,0.8,positive
135,the government chose the path of justice by defeating fuel subsidies to become blt for the TNI army's long live,0.043181818181818175,positive
136,Sat Intelkam personnel of the Padangsidimpuan Police carry out monitoring and early detection of the security situation and public order related to the government program regarding the increase in the price of Pertalite and first type diesel fuel at gas stations in the Padangsidimpuan city area Tuesday,0.0875,positive
141,the government has prepared a Rp trillion social assistance budget for Jambi to support direct fuel oil cash assistance,0.06666666666666667,positive
143,let's support the government's policy of distributing direct fuel oil cash assistance,0.1,positive
147,Adjusting the price of fuel oil is the right step for the government,0.2857142857142857,positive
149,"The incompetent management of the state budget has led the government to issue a policy of increasing fuel prices but it is not proportional because the wages for workers are different for each region and are still quite low, now it is even a waste of the state budget again",-0.1375,negative
150,a form of government attention to direct cash assistance subsidies for fuel oil in South Sumatra,0.1,positive
155,the distribution of direct fuel oil cash assistance is the government's commitment to improve community welfare to support the distribution of direct cash assistance in North Sumatra,0.1,positive
156,the government has accelerated the distribution of direct fuel oil cash assistance to the people of Steady Banten,0.13333333333333333,positive
157,direct fuel oil cash assistance is the government's effort to help the lower-class people steady in Banten,0.13333333333333333,positive
158,"The government's policy is right on target. Let's support direct cash assistance from solid fuel oil, Banten",0.12857142857142856,positive
159,"direct fuel oil cash assistance from the government is very helpful in lightening the burden on the community and there are many other benefits, steady offerings",0.16833333333333333,positive
160,greatly assisted by the existence of direct fuel oil cash assistance from the steady Banten government,0.35555555555555557,positive
161,the distribution of direct fuel oil cash assistance is the government's concern for the economy of the less fortunate in Banten,0.11111111111111112,positive
162,the government distributes direct fuel oil cash assistance in order to realize the use of subsidies that are right on target to support the distribution of direct cash assistance in North Sumatra,0.16190476190476188,positive
175,"Fuel price adjustments are being made so that the subsidies are right on target, Sulawesi is being supported by the government",0.2857142857142857,positive
176,"East Nusa Tenggara, the government is very wise in managing our fuel subsidy budget, Indonesia is moving forward",0.9099999999999999,positive
185,continue to voice our support for the government so that the distribution of fuel oil cash assistance can run smoothly,0.4,positive
190,"The transfer of fuel subsidies is the government's effort for the common good, especially for the people of Central Java in Purwokerto, Central Java, Indonesia",0.07999999999999999,positive
191,Adjustment of fuel prices is the right step for the Indonesian people's government to support the adjustment of West Sumatra's fuel prices,0.2857142857142857,positive
195,"Karanganyar Serka Medi Triwibowo Babinsa Koramil Tasikmadu carry out Social Sciences with BP Suroso, residents of Geng Hamlet, Kaling Village, Kec Tasikmadu discuss community conditions related to direct fuel oil cash assistance provided by the government",0.044444444444444446,positive
196,"Anticipating fluctuations in world crude oil prices, the Indonesian government is considered appropriate because it adjusts the price of fuel oil, but to maintain the purchasing power of the people of West Papua, they have received bltbbm",-0.09999999999999998,negative
197,"hundreds of thousands of people in Indonesia have received the benefits of direct cash assistance which has officially begun to be distributed by the government as a form of relocation of West Papua fuel oil subsidies, have received bltbbm",0.1,positive
204,direct fuel oil cash assistance evidence of the government's attention to the middle and lower class of aceh fuel oil cash direct assistance,0.06666666666666667,positive
205,fuel oil direct cash assistance is the right solution for the government to divert fuel subsidies to be more targeted in south sulawesi,0.29523809523809524,positive
206,guard the Yogyakarta special regional government subsidy on the price of Yogyakarta fuel oil,0.35714285714285715,positive
208,"The people of Medan, North Aumatera, support the increase in fuel prices. They believe in government policies to build a more advanced Indonesia",0.45,positive
210,the government is accelerating the distribution of direct fuel oil cash assistance by post so that it is easily accessible to Jambi,0.2375,positive
