Unnamed: 0,tweet_text,text
0,"Soal Isu Pertalite Boros, Pemerintah menepis dan memastikan Semua Telah Memenuhi Standar, dgn pengujian sampel BBM pertalite dr 6 SPBU #SukseskanPembangunanNKRI #UtangTerkendali https://t.co/awZwGbJzWi","['soal', 'isu', 'pertalite', 'boros', 'perintah', 'menep', 'dan', 'pasti', 'semua', 'telah', 'penuh', 'standar', 'dgn', 'uji', 'sampel', 'bbm', 'pertalite', 'dr', 'spbu']"
1,Jika revolusi BBM ke Listrik ini berhasil.Pemerintah wajib mengawasi antara pasokan listrik dan penerimaan listrik di pasar. supaya tdk menjadi over supply.  @jokowi  @ganjarpranowo @dini_purwono,"['jika', 'revolusi', 'bbm', 'ke', 'listrik', 'ini', 'hasil', 'perintah', 'wajib', 'awas', 'antara', 'pasok', 'listrik', 'dan', 'terima', 'listrik', 'di', 'pasar', 'supaya', 'tdk', 'jadi', 'supply', 'purwono']"
2,"Harga Minyak Dunia Terus Turun, Saatnya Pemerintah Turunkan Pula Harga BBM Bersubsidiâ¼ï¸  #BersamaMelayaniRakyat #PKSPelayanRakyat #dpcpkswringinanom https://t.co/cDy21Ydw07","['harga', 'minyak', 'dunia', 'terus', 'turun', 'saat', 'perintah', 'turun', 'pula', 'harga', 'bbm', 'subsidi']"
3,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/jpbMU4Ndgr,"['komitmen', 'perintah', 'untuk', 'salur', 'blt', 'bbm', 'kepada', 'masyarakat']"
4,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/pedOqWyigh,"['komitmen', 'perintah', 'untuk', 'salur', 'blt', 'bbm', 'kepada', 'masyarakat']"
5,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/VOJGp6WsOd,"['komitmen', 'perintah', 'untuk', 'salur', 'blt', 'bbm', 'kepada', 'masyarakat']"
6,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/7wu7B03XZP,"['komitmen', 'perintah', 'untuk', 'salur', 'blt', 'bbm', 'kepada', 'masyarakat']"
7,Anggota Komisi VII DPR Mulyanto: Saatnya Pemerintah Turunkan Harga BBM Bersubsidi . Jangan planga-plongo. Saat berpihak kepada rakyat. https://t.co/cxiAPxU74I via @tribunnews,"['anggota', 'komisi', 'vii', 'dpr', 'mulyanto', 'saat', 'perintah', 'turun', 'harga', 'bbm', 'subsidi', 'jangan', 'planga', 'plongo', 'saat', 'pihak', 'kepada', 'rakyat', 'via']"
8,"Guna memastikan ketersediaan BBM bersubsidi, pemerintah resmi menambah kuota pertalite dan solar per 1 Oktober 2022. Penambahan pertalite sebanyak 6,86 juta kL, sedangkan solar sebanyak 2,73 juta kL. #Ekonomi #AdadiKompas  https://t.co/DPYIX15cns","['guna', 'pasti', 'sedia', 'bbm', 'subsidi', 'perintah', 'resmi', 'tambah', 'kuota', 'pertalite', 'dan', 'solar', 'per', 'oktober', 'tambah', 'pertalite', 'banyak', 'juta', 'kl', 'sedang', 'solar', 'banyak', 'juta', 'kl']"
9,"Setelah sebulan lalu pemerintah mengumumkan kenaikan harga BBM, kini Provinsi Jawa Tengah (Jateng) mengalami inflasi bulanan sebesar 1,19 persen. Angka inflasi Jateng itu lebih tinggi dari inflasi nasional yang sebesar 1,17 persen. #inibaruid https://t.co/9nUU2mFqd9","['telah', 'bulan', 'lalu', 'perintah', 'umum', 'naik', 'harga', 'bbm', 'kini', 'provinsi', 'jawa', 'tengah', 'jateng', 'alami', 'inflasi', 'bulan', 'besar', 'persen', 'angka', 'inflasi', 'jateng', 'itu', 'lebih', 'tinggi', 'dari', 'inflasi', 'nasional', 'yang', 'besar', 'persen']"
10,"Pemerintah tambah subsidi BBM hingga akhir tahun ð¥  Pemerintah berencana tingkatkan kuota Pertalite sebanyak 6,86 juta kiloliter dan Solar 2,73 juta kiloliter hingga akhir 2022. Kementrian ESDM juga memastikan pembelian keduanya akan dibatasi agar lebih tepat sasaran. https://t.co/cH27iHeGrB","['perintah', 'tambah', 'subsidi', 'bbm', 'hingga', 'akhir', 'tahun', 'perintah', 'rencana', 'tingkat', 'kuota', 'pertalite', 'banyak', 'juta', 'kiloliter', 'dan', 'solar', 'juta', 'kiloliter', 'hingga', 'akhir', 'tri', 'esdm', 'juga', 'pasti', 'beli', 'dua', 'akan', 'batas', 'agar', 'lebih', 'tepat', 'sasar']"
11,"Banyak yg gak suka bahkan benci dg pemerintah, tp kalo ada blt, bansos, prakerja, bantuan bbm, antri paling depan. Ada yg kyk gitu? Banyakkkkkk","['banyak', 'yg', 'gak', 'suka', 'bahkan', 'benci', 'dg', 'perintah', 'tp', 'kalo', 'ada', 'blt', 'bansos', 'prakerja', 'bantu', 'bbm', 'antri', 'paling', 'depan', 'ada', 'yg', 'kyk', 'gitu', 'banyakkkkkk']"
12,Penyesuaian harga BBM ini diambil pemerintah dengan banyak proses pengkajian sehingga menemukan titik temu dimana tidak merugikan rakyat dan negara diambil ditengah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wAYTFpR28Y,"['sesuai', 'harga', 'bbm', 'ini', 'ambil', 'perintah', 'dengan', 'banyak', 'proses', 'kaji', 'sehingga', 'temu', 'titik', 'temu', 'mana', 'tidak', 'rugi', 'rakyat', 'dan', 'negara', 'ambil', 'tengah']"
13,Pemerintah menambah kuota Pertalite dan Solar subsidi untuk menjawab kekhawatiran masyarakat terkait ketersediaan BBM di wilayah masing-masing. https://t.co/SfCCk5P2rj,"['perintah', 'tambah', 'kuota', 'pertalite', 'dan', 'solar', 'subsidi', 'untuk', 'jawab', 'khawatir', 'masyarakat', 'kait', 'sedia', 'bbm', 'di', 'wilayah', 'masing', 'masing']"
14,Dukung Kebijakan Pemerintah dalam Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/vXK2VdeJni,"['dukung', 'bijak', 'perintah', 'dalam', 'sesuai', 'harga', 'bbm']"
15,BLT adalah solusi untuk Penyesuaian harga BBM dari Pemerintah.  ðBanten #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/ym5eusfdEV,"['blt', 'adalah', 'solusi', 'untuk', 'sesuai', 'harga', 'bbm', 'dari', 'perintah', 'banten']"
16,Pemerintah tambah kuota BBM jenis pertalite dan solar subsidi . . #EkonomiRITetapMenguat https://t.co/lin3ni6WMh,"['perintah', 'tambah', 'kuota', 'bbm', 'jenis', 'pertalite', 'dan', 'solar', 'subsidi']"
17,"Imbas Kenaikan Harga BBM, Iperindo Minta Subsidi Pembiayaan Perkapalan ke Pemerintah https://t.co/YVlKIStZ5D","['imbas', 'naik', 'harga', 'bbm', 'iperindo', 'minta', 'subsidi', 'biaya', 'kapal', 'ke', 'perintah']"
18,Pemerintah Tambah Kuota BBM Bersubsidi Jenis Pertalite dan Solar https://t.co/VmeKmmZUq3,"['perintah', 'tambah', 'kuota', 'bbm', 'subsidi', 'jenis', 'pertalite', 'dan', 'solar']"
19,Dukung pemerintah penyesuain harga BBM tepat sasaran Banten #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wOxXKSvhyz,"['dukung', 'perintah', 'penyesuain', 'harga', 'bbm', 'tepat', 'sasar', 'banten']"
20,"Pemerintah menambah kuota Bahan Bakar Minyak (BBM) jenis pertalite dan solar subsidi pada 1 Oktober 2022. Penambahan kuota pertalite sebanyak 6,86 juta kiloliter... https://t.co/qIdLtTjlTE","['perintah', 'tambah', 'kuota', 'bahan', 'bakar', 'minyak', 'bbm', 'jenis', 'pertalite', 'dan', 'solar', 'subsidi', 'pada', 'oktober', 'tambah', 'kuota', 'pertalite', 'banyak', 'juta', 'kiloliter']"
21,"Kepala BKF Kementerian Keuangan Febrio Kacaribu mengungkapk, angka inflasi September lebih rendah dibanding perkiraan pemerintah. https://t.co/7sKGBpc14j","['kepala', 'bkf', 'menteri', 'uang', 'febrio', 'kacaribu', 'mengungkapk', 'angka', 'inflasi', 'september', 'lebih', 'rendah', 'banding', 'kira', 'perintah']"
22,bantuan langsung tunai (BLT) dari pemerintah sebagai konsekuensi penyesuaian harga bahan bakar minyak (BBM) memberikan manfaat yang besar bagi masyarakat Pertamina Terbaik https://t.co/WPUYm5XFFy,"['bantu', 'langsung', 'tunai', 'blt', 'dari', 'perintah', 'bagai', 'konsekuensi', 'sesuai', 'harga', 'bahan', 'bakar', 'minyak', 'bbm', 'beri', 'manfaat', 'yang', 'besar', 'bagi', 'masyarakat', 'pertamina', 'baik']"
23,"Saat ini Pemerintah telah menambah kuota pertalite 6,8 juta KL, sementara untuk solat ditambah 2,73 juta KL. Namun demikian BPH Migas menyatakan terus akan mengawasi penyaluran BBM subsidi supaya tepat sasaran.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/37CBVNY5Wl","['saat', 'ini', 'perintah', 'telah', 'tambah', 'kuota', 'pertalite', 'juta', 'kl', 'sementara', 'untuk', 'solat', 'tambah', 'juta', 'kl', 'namun', 'demikian', 'bph', 'migas', 'nyata', 'terus', 'akan', 'awas', 'salur', 'bbm', 'subsidi', 'supaya', 'tepat', 'sasar']"
24,Walaupun kuota BBM di tambah BPH Migas menyatakan akan tetap mengawasi penyaluran subsidi BBM dari pemerintah. Ini akan membuat keadilan bagi rakyat kecil terwujud.  @pertamina  #BBMIndonesiaPalingMurah https://t.co/1l8XJe57PN,"['walaupun', 'kuota', 'bbm', 'di', 'tambah', 'bph', 'migas', 'nyata', 'akan', 'tetap', 'awas', 'salur', 'subsidi', 'bbm', 'dari', 'perintah', 'ini', 'akan', 'buat', 'adil', 'bagi', 'rakyat', 'kecil', 'wujud']"
25,"Pemerintah terus mengupayakan agar BBM bersubsidi tersalurkan dg tepat sasaran, Salah satu langkah yang saat ini tengah dijalankan ialah melalui pemanfaatan aplikasi MyPertamina. @pertamina Pertamina Terbaik https://t.co/0bmr7CFXkP","['perintah', 'terus', 'upaya', 'agar', 'bbm', 'subsidi', 'salur', 'dg', 'tepat', 'sasar', 'salah', 'satu', 'langkah', 'yang', 'saat', 'ini', 'tengah', 'jalan', 'ialah', 'lalu', 'manfaat', 'aplikasi', 'mypertamina', 'pertamina', 'baik']"
26,tersebut pemerintah melakukan campur tangan dalam penentuan harga BBM.  Simak selengkapnya pada infografis di atas!  #kastraddicted https://t.co/rZqbNl7eUU,"['sebut', 'perintah', 'laku', 'campur', 'tangan', 'dalam', 'tentu', 'harga', 'bbm', 'simak', 'lengkap', 'pada', 'infografis', 'di', 'atas']"
27,PKS konsisten mendesak Pemerintah membatalkan kenaikan harga BBM bersubsidiâ¼ï¸  || @diah_nur   #fraksipksdprri  #BersamaMelayaniRakyat  #PKStolakkenaikanBBM https://t.co/sLRU8FMckB,"['pks', 'konsisten', 'desak', 'perintah', 'batal', 'naik', 'harga', 'bbm', 'subsidi', 'nur']"
28,"Bisa Hemat Subsidi BBM Rp502 Triliun, Pemerintah Target 2 Juta Motor Listrik pada 2025 https://t.co/NVGB2ySP33 #TrenAsia","['bisa', 'hemat', 'subsidi', 'bbm', 'rp', 'triliun', 'perintah', 'target', 'juta', 'motor', 'listrik', 'pada']"
