,id,timestamp,tweet_text,username,followers_count,location
0,1.5778E+18,2022-10-05 23:00:01+00:00,"Soal Isu Pertalite Boros, Pemerintah menepis dan memastikan Semua Telah Memenuhi Standar, dgn pengujian sampel BBM pertalite dr 6 SPBU #SukseskanPembangunanNKRI #UtangTerkendali https://t.co/awZwGbJzWi",ucinglicious,12,
1,1.57775E+18,2022-10-05 20:00:35+00:00,Jika revolusi BBM ke Listrik ini berhasil.Pemerintah wajib mengawasi antara pasokan listrik dan penerimaan listrik di pasar. supaya tdk menjadi over supply.  @jokowi  @ganjarpranowo @dini_purwono,yunius_psi,13,
2,1.5777E+18,2022-10-05 16:40:32+00:00,"Harga Minyak Dunia Terus Turun, Saatnya Pemerintah Turunkan Pula Harga BBM Bersubsidi‼️  #BersamaMelayaniRakyat #PKSPelayanRakyat #dpcpkswringinanom https://t.co/cDy21Ydw07",dpc_wringinanom,64,wringinanom gresik jawa timur
3,1.57768E+18,2022-10-05 15:12:19+00:00,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/jpbMU4Ndgr,gittryani,1,
4,1.57768E+18,2022-10-05 15:12:14+00:00,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/pedOqWyigh,gittryani,1,
5,1.57768E+18,2022-10-05 15:12:08+00:00,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/VOJGp6WsOd,gittryani,1,
6,1.57768E+18,2022-10-05 15:12:01+00:00,Komitmen pemerintah untuk menyalurkan BLT BBM kepada masyarakat. #SalurkanBLTBBM https://t.co/7wu7B03XZP,gittryani,1,
7,1.57766E+18,2022-10-05 13:57:49+00:00,Anggota Komisi VII DPR Mulyanto: Saatnya Pemerintah Turunkan Harga BBM Bersubsidi . Jangan planga-plongo. Saat berpihak kepada rakyat. https://t.co/cxiAPxU74I via @tribunnews,pakmul63,2962,Tangerang Raya
8,1.57766E+18,2022-10-05 13:48:55+00:00,"Guna memastikan ketersediaan BBM bersubsidi, pemerintah resmi menambah kuota pertalite dan solar per 1 Oktober 2022. Penambahan pertalite sebanyak 6,86 juta kL, sedangkan solar sebanyak 2,73 juta kL. #Ekonomi #AdadiKompas  https://t.co/DPYIX15cns",hariankompas,996927,"Palmerah, Jakarta"
9,1.57766E+18,2022-10-05 13:45:08+00:00,"Setelah sebulan lalu pemerintah mengumumkan kenaikan harga BBM, kini Provinsi Jawa Tengah (Jateng) mengalami inflasi bulanan sebesar 1,19 persen. Angka inflasi Jateng itu lebih tinggi dari inflasi nasional yang sebesar 1,17 persen. #inibaruid https://t.co/9nUU2mFqd9",officialInibaru,502,"Semarang, Jawa Tengah"
10,1.57765E+18,2022-10-05 13:27:56+00:00,"Pemerintah tambah subsidi BBM hingga akhir tahun 🔥  Pemerintah berencana tingkatkan kuota Pertalite sebanyak 6,86 juta kiloliter dan Solar 2,73 juta kiloliter hingga akhir 2022. Kementrian ESDM juga memastikan pembelian keduanya akan dibatasi agar lebih tepat sasaran. https://t.co/cH27iHeGrB",Stockbit,30567,Jakarta
11,1.57765E+18,2022-10-05 13:25:14+00:00,"Banyak yg gak suka bahkan benci dg pemerintah, tp kalo ada blt, bansos, prakerja, bantuan bbm, antri paling depan. Ada yg kyk gitu? Banyakkkkkk",SobatKampung,0,
12,1.57764E+18,2022-10-05 12:57:43+00:00,Penyesuaian harga BBM ini diambil pemerintah dengan banyak proses pengkajian sehingga menemukan titik temu dimana tidak merugikan rakyat dan negara diambil ditengah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wAYTFpR28Y,ArifSubagiyo2,11,
