,id,timestamp,tweet_text,username,followers_count,location
0,1610281486388965376,2023-01-03 14:26:38+00:00,"Ini Beda Lagi Nih ,Yg Lagi Viral sma bandung Cindo Colmk crot💦  Bokep indo viral terbaru vcs video Indonesia Colmek skandal link jilbab mesum bahan coli bacol hijab sange Malam Minggu Malming #SANGE_AAAAAAAAAA💦 #malamjumat💦 #bocilviral2022💦 Link full video Ada di bio gw coy👆 https://t.co/begqKDCHD2",PahmiSah,5,
1,1610281436103454723,2023-01-03 14:26:26+00:00,Kurnia Ramadhana dari Indonesia Corruption Watch (ICW).  Koalisi menemukan indikasi kecurangan yg dilakukan anggota KPU pusat ke anggota KPU daerah.  Koalisi Kawal Pemilu Bersih yang tergabung dari beberapa LSM mendatangi kantor LPSK dan diterima Komisionernya  Edwin Partogi. https://t.co/pAfBjnowQV,SuwandaBen,4939,
2,1610281360756719616,2023-01-03 14:26:08+00:00,Kalah sama indonesia https://t.co/ToBZNyPr9x,mowmowlg,488,"Williamsburg, Brooklyn"
3,1610281346999660547,2023-01-03 14:26:05+00:00,BSSN: Pusat Data Pemprov Jawa Tengah Pertama di Indonesia https://t.co/MVn3JShRIB,soloposdotcom,66440,"Solo, Central Java, Indonesia"
4,1610281340490125312,2023-01-03 14:26:03+00:00,Prabowo Tegaskan Ingin Tingkatkan Jumlah Kapal Perang TNI AL yang Siap Tempur https://t.co/T1Wdv9dCqk,VIVAcoid,4655463,
5,1610281339949047808,2023-01-03 14:26:03+00:00,"Vietnam memastikan diri jadi juara Grup B Piala AFF, mereka akan melawan Timnas Indonesia di semifinal. #kumparanBOLA https://t.co/UGAvu08MO5",kumparan,985672,
6,1610281330771918848,2023-01-03 14:26:01+00:00,"Eko Suwanto mengungkapkan, PDI Perjuangan terus berkomitmen membawa kesejahteraan rakyat Indonesia. #IKNWujudPerubahan #PDIPerjuangan https://t.co/DtA01pEVCL",Jessica45360444,0,
7,1610281298337353729,2023-01-03 14:25:53+00:00,"Yuk join bersama bisnis ustadz yusuf mansur(Paytren), silahkan cek bio #Pokoknyapaytreninaja  ##sukses #bisnis #bersama #paytren #indonesia",Unbelieveteam,523,BBM 288a2727 WA 081277698946
8,1610281291798433793,2023-01-03 14:25:52+00:00,SEMI FINAL!!!!  06.01.2023: 🇮🇩 INDONESIA vs VIETNAM 🇻🇳  07.01.2023: 🇲🇾 MALAYSIA vs THAILAND 🇹🇭  #AFFMitsubishiElectricCup,SeorangKhairul,1478,"Selangor, Malaysia"
9,1610281257174454277,2023-01-03 14:25:43+00:00,EH KOK GW GA TAU ADELE KE INDONESIA?????,faishadlana,426,still on earth
10,1610281254133592070,2023-01-03 14:25:43+00:00,"Mengapa Sekolah Negeri Diskriminatif, Sedangkan Sekolah Berbasis Agama Tidak? https://t.co/DL9RAgLqbx",batak_indonesia,80,"DKI Jakarta, Indonesia"
11,1610281240090869760,2023-01-03 14:25:39+00:00,"#RequestNite   Np:@hiroakikato39 ft @maiiizura  Cc:@swaramudafm3 @jalankarmel114 @musicastudios @ Lembang, Jawa Barat, Indonesia https://t.co/Jah2xgP7c1",SwaramudaBDG,7624,"Lembang, Indonesia"
12,1610281228875464705,2023-01-03 14:25:37+00:00,Piala AFF Mitsubishi Electric 2022  Keputusan penuh  Malaysia 4 Singapura 1  Vietnam 3 Myanmar 0  Separuh Akhir  Malaysia vs Thailand Indonesia vs Vietnam https://t.co/93RQWvh2Hh,Media_Rania,1120,"Atlanta, GA"
13,1610281224110739456,2023-01-03 14:25:36+00:00,Indonesia bakalan ketemu Vietnam yg belum pernah kebobolan selama babak penyisihan haha,toge21_,341,"Depok, Indonesia."
