Unnamed: 0,tweet_text
0,"regarding the issue of wasteful pertalite, the government dismissed it and ensured that everything met the standards by testing samples of pertalite fuel oil from gas stations"
1,"if the fuel-to-electricity revolution is successful, the government is obliged to monitor the supply of electricity and the receipt of electricity in the market so that it does not become over-supply purwono"
2,world oil prices continue to fall it's time for the government to also reduce the price of subsidized fuel oil
3,the government's commitment to channeling fuel oil cash assistance to the community
4,the government's commitment to channeling fuel oil cash assistance to the community
5,the government's commitment to channeling fuel oil cash assistance to the community
6,the government's commitment to channeling fuel oil cash assistance to the community
7,"Member of Commission VII DPR Mulyanto, it's time for the government to lower the price of subsidized fuel"
8,"In order to ensure the availability of subsidized fuel oil, the government has officially increased the pertalite and diesel quotas as of October, the addition of pertalite is as much as million KL while diesel is as much as million KL"
9,"after a month ago the government announced an increase in fuel prices, now Central Java province, Central Java, is experiencing monthly inflation of 100,000 percent."
10,"the government will add fuel subsidies until the end of the year the government plans to increase the pertalite quota by as much as 1 million kiloliters and 1 million kiloliters of diesel by the end, the ministry of Energy and Mineral Resources also ensures that purchases of both will be limited so that they are more on target"
11,"many do not like and even hate the government, but if there is BLT social assistance, pre-employment assistance, fuel assistance is queued at the front, there are many like that."
12,"the government made adjustments to the price of fuel oil through many review processes so as to find common ground where it would not be detrimental to the people and the state, it was taken in the middle"
13,the government increased the pertalite quota and subsidized diesel fuel to address community concerns regarding the availability of fuel oil in their respective areas
14,support the government's policy in adjusting the price of fuel oil
15,Direct cash assistance is a solution for adjusting fuel prices from the Banten government
16,the government increases the quota for pertalite fuel oil and subsidized diesel fuel
17,iperindo asked the government for shipping financing subsidies due to the increase in fuel prices
18,the government increases the quota for subsidized fuel oil pertalite and diesel
19,support the government to adjust the price of fuel oil to target Banten
20,"the government increases the pertalite fuel oil quota and subsidized diesel fuel in October, increasing the pertalite quota by one million kiloliters"
21,"BKF head of the Ministry of Finance, Febrio Kacaribu, revealed that September's inflation rate was lower than the government's estimate"
22,BLT direct cash assistance from the government as a consequence of adjusting the price of fuel oil provides great benefits for the best Pertamina community
23,"currently the government has increased the pertalite quota million KL temporarily for prayer plus a million KL however, BPH Oil and Gas stated that it would continue to monitor the distribution of subsidized fuel oil so that it was right on target"
24,"Even though the fuel oil quota is added, BPH Oil and Gas stated that it would continue to monitor the distribution of fuel oil subsidies from the government. This would make justice for the common people realized."
25,"the government continues to make efforts so that subsidized fuel oil is channeled on target, one of the steps that is currently being carried out is through the use of the best pertamina mypertamina application"
26,the government intervenes in determining fuel prices see more in the infographic above
27,PKS consistently urges the government to cancel the increase in the price of subsidized fuel oil
28,"can save Rp. trillion in fuel subsidies, the government targets million electric motorbikes on"
29,the regional government of Bengkulu supports the central government's policies in overcoming the impact of rising fuel prices with direct cash assistance and BSU
30,pertamina ensures that subsidized fuel oil stocks are sufficient until the end of the year because the government has also added subsidized fuel oil stocks so you don't worry pertalite is safe
31,the people of Bengkulu support the government's policy of providing direct fuel oil cash assistance to overcome the difficulties experienced by community members due to the adjustment in fuel prices
32,The government has agreed to increase the quota for subsidized fuel oil so that it can last until the end of the year.
33,the government agreed to increase the quota for subsidized fuel oil so that it would be sufficient until the end of the year.
34,"the price of Indonesian fuel oil is still the cheapest, bestie, because there are still subsidies from the government for each liter, for example, Pertalite, this favorite product, is still subsidized in the range of 1,000,000 liters pertalite, the price is the most economical and economical"
35,the government increases the quota for pertalite fuel oil and subsidized diesel fuel
36,"the effect of rising fuel oil continues, the government will continue direct cash assistance"
37,the government increases the quota for pertalite fuel oil and subsidized diesel fuel
38,the adjustment of the price of fuel oil really helps the community and is the right decision by the government to uphold justice Balinese youth unite to fully support the adjustment of fuel prices
39,"The price of fuel oil in Indonesia is one of the cheapest compared to the average ASEAN countries, this is due to subsidies from the best Pertamina fuel, the cheapest and most economical Pertamina fuel."
