,tweet,sentimen
1263,The increase in fuel oil follows world oil prices. The transfer of fuel subsidies has been rightly carried out by the central government of West Sumatra,positive
399,"the government will provide socialization regarding the use of subsidized fuel oil, how this socialization will be carried out and how to ensure fuel oil subsidies are right on target, follow the discussion tonight at 11:00 a.m. on KompasTV streaming",positive
1094,the government is able to maintain aceh's economy by supporting fuel price adjustments,positive
2924,cash direct assistance or direct fuel oil cash assistance is one of the social assistance distributed by the government to reduce the impact of rising fuel prices direct fuel oil cash assistance will be given to millions of beneficiaries throughout Indonesia,positive
1222,the entire community of North Sumatra supports the government in adjusting world fuel prices so that the allocation of subsidies can be more targeted,positive
1038,the government was able to maintain the economy amid adjustments to the price of fuel oil in West Sumatra,positive
1732,adjusting the price of fuel oil to fulfill the principle of justice for underprivileged communities and ensuring the economic sustainability of the people of Sulawesi is supporting government policies,positive
977,the distribution of direct cash assistance is evidence that the government is protecting vulnerable communities amid adjustments to the price of fuel oil in Central Sulawesi,negative
2597,fuel oil direct cash assistance forms the government's alignment with the people optimally Jambi supports the transfer of fuel subsidies,positive
259,"the current price of fuel oil is still reasonable friends, don't doubt the government in adjusting the price of fuel oil in its policies, what the government is doing is only for the people, including the people of North Kalimantan",positive
1292,"Teluk Wondama Regency Government, West Papua, allocates a budget of IDR billion in APBD changes for social protection spending in the context of handling regional inflation after subsidized fuel price adjustments",positive
480,"direct cash assistance for fuel oil is one of the compensation for adjusting the price of fuel oil from the government, thank you Mr. Jokowi, North Maluku, Ternate",positive
196,"The government made an adjustment to the price of fuel oil to contain inflation, the people of Sulawesi are supporting the policy of adjusting the price of fuel oil",positive
2847,fuel oil direct cash assistance solutions to maintain the purchasing power of the people of West Kalimantan the government,positive
895,now no demonstrations fuel oil but support blt no more crying because it's not opposition hahahaha let's support the government,negative
1343,the government accelerated the distribution of direct fuel oil cash assistance to the people of West Sumatra,positive
2623,"Thank you, the government, the people of West Papua have been greatly helped by the disbursement of direct fuel cash assistance",positive
2725,"so that all Indonesian people reach out to use BBM, this is very well done by the government, greetings from the people of East Nusa Tenggara",positive
316,the number of Merauke residents receiving direct cash assistance from fuel oil is as much as KPM Sulawesi is supporting government policies,positive
483,North Kalimantan residents fully support the government's policy of adjusting the price of fuel oil to divert it to more useful sectors,positive
2470,the government provides direct fuel oil cash assistance to poor people in the special region of Yogyakarta direct cash assistance fuel oil yogyakarta,positive
302,direct cash assistance liquid stage fuel oil starting november Sulawesi is supporting government policies,positive
2854,zulfikar hamonangan increase fuel oil yesterday because the government was late to hope for change,negative
148,"Regarding the government's policy of adjusting the price of subsidized fuel, we just support it. Besides, the government has also distributed direct fuel oil cash assistance, which is definitely right on target, which is sure to help the people of West Papua.",positive
2271,The adjustment in the price of fuel oil is the government's commitment to realize the use of subsidies that are right on target to support the adjustment in the price of fuel oil in North Sumatra,positive
2728,"The government said that fuel subsidies only benefit the rich, but in reality, when the subsidies are removed, it is the weak economy that is the hardest hit, there is nothing we haven't done, Indonesia small businesses brace for impact of fuel price hike",negative
2001,"an appropriate policy carried out by the government, subsidies are right on target, so far subsidized fuel oil has been enjoyed by the rich, so the government has diverted it into direct cash assistance, fuel oil, West Papua's younger brother, has received bltbbm",positive
228,"the utilization of the state budget must be carried out as well as possible, one of which is to adjust the price of fuel oil by diverting the subsidy budget to social assistance, the people of North Sumatra strongly agree and support government policies",positive
385,"The difference with Indonesia is that the Australian government has not regulated the price of fuel oil since last year, the Australian government only regulates how much fuel oil tax must be paid to the government.",positive
850,president jokowi ensures that the distribution of government assistance in the city of Ternate runs smoothly Jambi supports direct fuel oil cash assistance,positive
496,direct fuel oil cash assistance is the government's solution to helping low-income communities affected by the adjustment in East Nusa Tenggara's fuel prices,positive
966,direct fuel oil cash assistance is a form of government concern for the community,positive
766,Jambi residents also support the government's policy of direct fuel oil cash assistance that effectively helps maintain people's purchasing power,positive
1173,The government's adjustment to fuel prices is correct because it prioritizes subsidies for the economically weak Gorontalo community,negative
536,"the decision to adjust the price of fuel oil is right, the Indonesian people must be smart. The efforts made by the government are to provide equal distribution of subsidies for all Indonesian people, the people of North Sumatra chattered",positive
235,let's all support the adjustment of fuel prices due to the adjustment of subsidized fuel prices by the government to adjust world fuel prices so that the allocation of subsidies can be more targeted,positive
1547,distribution of direct cash assistance and evidence that the government is protecting vulnerable communities amid the North Sumatra fuel price adjustments,negative
2486,"the government's policy is correct to adjust the price of subsidized fuel oil, all for the sake of distributing subsidies that are right on target, the chatter of the people of North Sumatra",positive
648,distribution of fuel oil direct cash assistance as the government's concern for the economy of the underprivileged people of West Papua have received bltbbm,positive
2343,the government provides direct fuel oil cash assistance to poor citizens of West Sumatra,negative
485,North Kalimantan residents fully support the government's policy of adjusting the price of fuel oil to divert it to more useful sectors,positive
2181,the government provides direct fuel oil cash assistance to people with disabilities and Jambi orphans,positive
527,Member of Commission VII DPR RI Mulyanto urges the government to lower subsidized fuel oil prices due to falling world crude oil prices,negative
2737,support the government to continue evaluating plans to adjust fuel prices so that the economy improves for subsidies that are right on target for North Sumatra,positive
1397,"All economies agree that the social bearing policy of fuel oil is a form of the government's support for the people of Jokowi, the great Jambi proud",positive
1850,"I just read the news, it turns out that fuel subsidies are being enjoyed by the well-to-do people and rumors are that the government will provide a policy for regulating the purchase of subsidies that are right on target, what do you think?",positive
2889,"the government's policy regarding adjusting the price of fuel subsidies received support from truck drivers, the common people supported the efforts of the president so that subsidized fuel oil was right on target, diesel prices were still enthusiastic about working",positive
1696,"direct fuel oil cash assistance by the government aims to protect the purchasing power of the people of North Kalimantan, especially the lower middle class so that subsidies are more targeted",positive
1965,"My opinion is why more and more people are buying vivo gasoline, maybe some people are already disappointed with the price of Pertalite, which has been increased by the government, but more and more it says subsidized fuel oil at all Pertamina",positive
1779,the ministry of finance said that the transfer of fuel subsidies to maintain the purchasing power of the poor people of Sulawesi is supporting government policies,negative
878,the distribution of direct cash assistance is evidence that the government is protecting vulnerable communities amid adjustments to fuel prices in Central Java,negative
