,tweet,sentimen
915,"The government's direct cash assistance is considered sufficient to help people affected by the increase in fuel prices, Mamit said that in the future the government must continue to provide other stimuli, especially in order to improve the economy of vulnerable groups.",negative
1362,the government is doing its best and adjusting the price of fuel oil is the best step from the government,positive
408,"The first official price drop starting in October, this is the decision per liter price, the government officially stipulates a policy of reducing the price of fuel oil starting on Saturday, October",positive
268,The government has made policies with careful consideration to support the adjustment of fuel prices for North Sumatra,negative
254,direct cash assistance liquid fuel oil for the middle to lower class people in Riau supports government policies,positive
308,"everywhere, if officials are having fun when fuel oil and nine basic commodities are expensive, the people are definitely the government's fault",negative
1010,Bangka Belitung Islands The price adjustment for fuel oil is correct. We are proud of the government,positive
801,the government ensures direct liquid fuel cash assistance starting november Jambi supports direct fuel oil cash assistance,positive
1387,"thank God, finally the government has started distributing direct fuel oil cash assistance to motorcycle taxi drivers and SMEs liquidated October during the month of supporting the distribution of direct cash assistance North Sumatra",positive
895,"Thank God, yes, the government has announced the transfer of fuel subsidies so that the subsidies provided by the government are more targeted",positive
171,"Thank you, the government has provided direct cash assistance, fuel oil, direct cash assistance, helping Lampung residents",positive
192,Bangka Belitung Islands direct fuel oil cash assistance is one form of government concern in adjusting fuel prices,positive
223,"let's be wise to take advantage of direct cash assistance from the government, the people of Indonesia, support social assistance, direct fuel oil cash assistance because it is right on target, West Sumatra",positive
14,pertamina ensures that subsidized fuel oil stocks are sufficient until the end of the year because the government has also added subsidized fuel oil stocks so you don't worry pertalite is safe,positive
1499,"the government must also restore the culture of walking & public transportation culture so that people's activities are not disrupted due to the revocation of fuel subsidies, improve public transportation & sidewalks so that people are comfortable using",positive
638,West Papua supports the government in providing direct fuel oil cash assistance as a solution to maintain people's purchasing power,positive
204,The government is revising regulations regarding the distribution of subsidized fuel oil which is expected to bring about significant changes to the distribution of subsidized fuel oil which is problematic & rare in some regions.,positive
1159,the government was able to maintain the economy amidst the price adjustments for fuel oil in the Riau Islands,positive
159,the price of basic commodities has now increased quite significantly because of the rise in fuel oil but the government says Indonesia's inflation is the third lowest in Asia,positive
491,"If this is true, this is diverting the issue of the Sambo and BBM cases, this government is really barbaric",positive
1133,"The government must take adjustments to the price of fuel oil in order to contain inflation, which has a far greater cost in Gorontalo",positive
506,direct fuel oil cash assistance efforts to divert fuel oil subsidies from the government with this assistance are expected to help the small communities of Banten,negative
962,"actually the government's policy plan to regulate subsidies on target is correct, but please make sure again if indeed when this program is running, subsidized fuel oil is right on target to people who really deserve it",positive
1511,"Bangka Belitung Islands direct fuel oil cash assistance has been widely felt by the poor, we are proud of the government",positive
229,immediately disburse direct fuel oil cash assistance at this stage proof of the government's commitment to taking care of me buying the less fortunate people of the Bangka Belitung Islands,positive
326,the government diverted fuel subsidies for aid that was more targeted in Central Java,positive
122,The government made adjustments to fuel prices to keep inflation steady in Banten,positive
632,Adjusting the price of fuel oil is the government's effort to make fuel subsidies more targeted to less fortunate communities.,positive
1180,"when yesterday fuel oil continued to rise, many governments even promoted moving to electric vehicles, this proved that they were completely ignorant of public transportation",positive
1247,ojek online ojok will receive direct fuel cash assistance. This is the realization of direct fuel oil cash assistance which has reached one million percent of the target set by the government,positive
