,tweet,sentimen
648,"The government ensures direct cash assistance liquid phase fuel oil starting November, Jambi",positive
1097,government continues distribute direct cash assistance bali fuel,positive
22,government chooses path justice defeating fuel subsidy become blt japan ferdy sambo aremania telkomsel nasdrun tni nasdem sincerely prioritizes people,positive
751,"Thank you, government provided direct cash assistance liquid fuel, people happy West Java",positive
254,"thanks social assistance program, grassroots enjoy subsidized fuel oil Riau support government policy",positive
1379,"arguing subsidy wrong target, government officially raised price fuel oil September now, still getting various rejections, collection documentation action increase fuel price city Indonesia",negative
805,"Apart adjusting price fuel oil, government also provides compensation social service people Lampung Dabar, yes, gaess",positive
654,first turbo afternoon rp okay want go oppung keep using fuel oil without expecting government subsidy like ibn kadrun reactor try tag reactor,positive
743,"Phase 1 cash assistance fuel oil disbursed soon, thanks Jambi government",positive
187,let's wise use direct cash assistance government direct cash assistance one compensation adjusting price fuel oil West Sumatra,positive
1115,The government making adjustment price fuel oil Indonesia's economic stability maintained use subsidy targeted support adjustment price fuel oil North Sumatra,positive
353,right decision taken government Jambi support adjustment fuel price,positive
440,Bangka Belitung Islands distribution fuel oil direct cash assistance government make people happy,positive
1185,government provided direct fuel oil cash assistance program people can't afford,positive
322,"Thank God, finally government distributed direct fuel oil cash assistance community region Indonesia, North Sumatra",positive
1328,government provides direct fuel oil cash assistance poor citizen Bangka Belitung Islands,negative
310,distribution fuel subsidy right target important record government make happen,positive
1002,"The government must make adjustment price fuel oil order restrain inflation, much greater cost impact, support adjustment fuel price",positive
901,"president jokowi said distribution direct fuel oil cash assistance reached percent, addition government's direct fuel cash assistance, also accelerated distribution bsu",positive
27,government accelerated distribution direct fuel oil cash assistance people Jambi support Indonesia,positive
442,"Bangka Belitung Islands, direct fuel oil cash assistance distributed government really help community",positive
527,Hokowi government accelerates distribution direct fuel oil cash assistance community,positive
993,government able maintain economy amid price adjustment fuel oil greeting aceh,positive
175,Merauke resident feel greatly helped direct cash assistance fuel oil Jambi government,positive
687,"Thank you, government distributed direct fuel oil cash assistance people need Bali",positive
414,"President Joko Widodo's visit North Maluku, distribution direct cash assistance evidence government protecting vulnerable community amid adjustment fuel price",negative
142,government's rare right adjusting price North Sulawesi fuel oil,positive
223,"let's wise take advantage direct cash assistance government, people Indonesia, support social assistance, direct fuel oil cash assistance right target, West Sumatra",positive
227,"From explanation, understood government's policy setting new fuel price based interest people North Maluku, Ternate",positive
